synset_name,definition,extracted key phrases,folder_name,Extended Description,Extended Key Phrases,Class Name,key_phrase_1,key_phrase_2,key_phrase_3
volcano,a mountain formed by volcanic material,volcanic mountain,n09472597,"[""A volcano is a landform that occurs when magma from the Earth's interior rises to the surface, resulting in eruptions of molten rock, ash, and gas. The shape of a volcano can vary greatly, from a small, rounded hill to a tall, conical mountain. The surface of a volcano can be covered in lava flows, ash deposits, and other volcanic materials. Volcanoes can be found on land and under the ocean, and they are often associated with earthquakes and other seismic""]","[""conical shape,"", ""steep, rocky sides,"", ""smoke or ash emissions""]",volcano,volcano with conical shape,"volcano with steep, rocky sides",volcano with smoke or ash emissions
ballplayer,an athlete who plays baseball,baseball player.,n09835506,"['- A ballplayer is an athlete who plays the sport of baseball. They are typically skilled in hitting, throwing, and catching.', '- They wear a uniform, which includes a hat, shirt, pants, and cleats.', '- They play on a team, with each player having a specific position on the field.', '- They use a bat to hit the ball, and a glove to catch it.', '- They run around the bases to score points.', '- They work together with']","[""athletic build,"", ""short, curved bat,"", ""bright, vibrant uniform""]",baseball player,baseball player with athletic build,"baseball player with short, curved bat","baseball player with bright, vibrant uniform"
groom,a man participant in his own marriage ceremony,man participant in his own marriage ceremony,n10148035,"['A groom is a man who is participating in his own marriage ceremony. He is typically dressed in formal attire, such as a suit and tie, and may wear a boutonniere, a small flower or floral arrangement, on his lapel. The groom may also wear a wedding ring, symbolizing his commitment to his partner. During the ceremony, the groom will typically stand at the altar, facing his partner, and exchange vows and rings with her. After the ceremony, the groom and his']","[""flattened body shape,"", ""rounded head,"", ""distinctive white or cream-colored coat""]",bridegroom,bridegroom with flattened body shape,bridegroom with rounded head,bridegroom with distinctive white or cream-colored coat
scuba_diver,an underwater diver who uses scuba gear,underwater diver with scuba gear.,n10565667,"[""- The scuba diver is a person who uses scuba gear to breathe underwater. They wear a wetsuit or dry suit to protect themselves from the cold water and any sharp objects. They also wear a mask, snorkel, and fins to help them breathe and move underwater. The scuba diver carries a tank of compressed air on their back, which they use to breathe underwater. They also carry a regulator, which is a device that delivers the air to the diver's mouth. The sc""]","[""diving gear,"", ""human-like body shape,"", ""scuba tank""]",scuba diver,scuba diver with diving gear,scuba diver with human-like body shape,scuba diver with scuba tank
rapeseed,seed of rape plants; source of an edible oil,seed of rape plants,n11879895,"['- The rapeseed is a bright yellow flower that grows in clusters on the rape plant.', '- The seeds are small, flat, and oval-shaped, with a smooth surface.', '- The seeds are used to produce an edible oil, which is used in cooking and as a biofuel.', '- The oil is high in unsaturated fats and has a mild, nutty flavor.', '- The seeds are also used as a source of protein and as a food source for birds and other']","[""yellow flower head,"", ""branched stem,"", ""seed pods with a distinctive spiral pattern""]",rapeseed,rapeseed with yellow flower head,rapeseed with branched stem,rapeseed with seed pods with a distinctive spiral pattern
daisy,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl,composite plant with ray flowers.,n11939491,['- The daisy is a type of flowering plant that belongs to the family Asteraceae. It has a composite flower head that is made up of two types of flowers: the outer ray flowers and the inner disc flowers. The ray flowers are typically white or yellow and are arranged in a single whorl around the center of the flower head. The disc flowers are usually yellow or orange and are arranged in a spiral pattern around the center of the flower head. The leaves of the daisy are typically'],"[""petal-like shape,"", ""central disc with radiating petals,"", ""yellow center with white or colored petals""]",daisy,daisy with petal-like shape,daisy with central disc with radiating petals,daisy with yellow center with white or colored petals
yellow_lady's_slipper,"maroon to purple-brown orchid with yellow lip; Europe, North America and Japan",purple-brown orchid with yellow lip,n12057211,"[""- The yellow lady's slipper (Cypripedium calceolus) is a perennial orchid that grows from 10 to 30 cm tall."", '- The leaves are dark green, lance-shaped, and grow in a rosette.', '- The flowers are maroon to purple-brown in color with a yellow lip, and are shaped like a slipper.', '- The flowers are fragrant and bloom in late spring to early summer.', ""- The yellow lady's""]","[""padded, slipper-shaped petals,"", ""yellow color,"", ""white stripes on the dorsal side""]",yellow lady's slipper,"yellow lady's slipper with padded, slipper-shaped petals",yellow lady's slipper with yellow color,yellow lady's slipper with white stripes on the dorsal side
corn,the dried grains or kernels or corn used as animal feed or ground for meal,dried corn kernels used as animal feed ,n12144580,"['- A type of cereal grain that is typically yellow or white in color', '- The grains are usually harvested from the ears of the corn plant, which can grow up to 6 feet tall', '- The grains are typically dried and processed into various forms, such as animal feed, meal, or flour', '- The grains are high in carbohydrates and can be used as a source of energy for animals and humans', '- The grains are also used in various food products, such as tort']","[""oval shape,"", ""hairy texture,"", ""yellow color""]",corn,corn with oval shape,corn with hairy texture,corn with yellow color
acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base,smooth thin-walled nut in a woody cup-shaped base,n12267677,"['- The acorn is a small, oval-shaped fruit that grows on oak trees.', '- It has a smooth, thin-walled shell that is usually brown or tan in color.', '- The shell is attached to a woody cup-shaped base called a cupule.', '- The acorn is an important food source for many animals, including squirrels, birds, and deer.', '- The acorn is also a symbol of strength and resilience, as oak trees are known for their ability']","[""cap shape,"", ""rounded body shape,"", ""small, ridged scales,""]",acorn,acorn with cap shape,acorn with rounded body shape,"acorn with small, ridged scales"
hip,the fruit of a rose plant,rose plant fruit,n12620546,"['- A hip is the fruit of a rose plant, typically a berry-like structure that contains seeds.', '- The hip is usually red, orange, or yellow in color, and can be round or oval in shape.', '- The seeds inside the hip are small and black, and are dispersed by birds and other animals that eat the fruit.', ""- The hip is an important part of the rose plant's life cycle, as it allows the plant to reproduce and spread its seeds to new areas.""]","[""flattened body shape,"", ""rounded head,"", ""distinctive color pattern""]",rose hip,rose hip with flattened body shape,rose hip with rounded head,rose hip with distinctive color pattern
buckeye,the inedible nutlike seed of the horse chestnut,nutlike seed of the horse chestnut,n12768682,"['The buckeye is a small, nutlike seed that is typically brown or gray in color. It has a smooth, glossy surface and a rounded shape. The buckeye is inedible and is often used as a decorative item or as a symbol of good luck. It is also used in traditional crafts and is often carved or painted to create decorative items. The buckeye is a popular item in Ohio, where it is considered a symbol of good luck and is often given as a gift.']","[""rounded head,"", ""small, rounded body shape,"", ""distinctive red and black color pattern""]",horse chestnut seed,horse chestnut seed with rounded head,"horse chestnut seed with small, rounded body shape",horse chestnut seed with distinctive red and black color pattern
